Isotopo,Egama ,IN,Efic       ,sEfic      ,Eres       ,sEres      ,Na         ,Fz         ,Fa         ,D          ,C          ,S          ,W          ,NaCd       ,FZCd       ,FaCd       ,DCd        ,CCd        ,SCd        ,WCd        ,sNa        ,sFz        ,sFa        ,sD         ,sC         ,sS         ,sW         ,sNaCd      ,sFZCd      ,sFaCd      ,sDCd       ,sCCd       ,sSCd       ,sWCd       ,k0         ,sk0        ,FCd        ,sFCd       ,Gepi       ,sGepi      ,Gth        ,sGth       ,Alfa        ,sAlfa      ,FI         ,sFI        ,idouro, irradiacao
Zr-95  ,724.2 ,1 ,7.21E-04   ,4.94E-06   ,6.26E+03   ,2.50E+02   ,8.40E-01   ,1.00E+00   ,1.00E+00   ,9.34E-01   ,9.88E-01   ,4.52E-04   ,4.72E-03   ,6.37E-02   ,1.00E+00   ,1.00E+00   ,9.05E-01   ,9.81E-01   ,4.52E-04   ,4.08E-03   ,2.18E-03   ,2.90E-03   ,7.00E-04   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,5.10E-04   ,2.90E-03   ,7.00E-04   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,8.88E-05   ,3.12E-07   ,1.00E+00   ,5.00E-03   ,9.99E-01   ,4.00E-04   ,1.00E+00   ,0.00E+00   ,-3.10E-03   ,4.70E-03   ,4.97E+01   ,1.90E+00   ,5     , 1
Zr-95  ,756.7 ,1 ,6.93E-04   ,4.79E-06   ,6.26E+03   ,2.50E+02   ,1.00E+00   ,1.00E+00   ,1.00E+00   ,9.34E-01   ,9.88E-01   ,4.52E-04   ,4.72E-03   ,7.64E-02   ,1.00E+00   ,1.00E+00   ,9.05E-01   ,9.81E-01   ,4.52E-04   ,4.08E-03   ,2.40E-03   ,2.90E-03   ,7.00E-04   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,7.95E-04   ,2.90E-03   ,7.00E-04   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,1.10E-04   ,2.20E-06   ,1.00E+00   ,5.00E-03   ,9.99E-01   ,4.00E-04   ,1.00E+00   ,0.00E+00   ,-3.10E-03   ,4.70E-03   ,4.97E+01   ,1.90E+00   ,5     , 1
Zn-95  ,1115.5,2 ,4.70E-04   ,2.14E-06   ,2.56E+03   ,2.56E+02   ,4.40E+02   ,1.12E+00   ,1.00E+00   ,9.91E-01   ,1.00E+00   ,1.18E-04   ,2.49E-01   ,1.51E+01   ,1.03E+00   ,1.00E+00   ,9.97E-01   ,9.99E-01   ,1.18E-04   ,2.37E-01   ,1.32E-01   ,4.04E-03   ,3.60E-03   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,1.81E-02   ,3.10E-03   ,3.60E-03   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,5.72E-03   ,4.20E-05   ,9.93E-01   ,1.90E-03   ,9.65E-01   ,8.70E-03   ,9.92E-01   ,1.40E-03   ,-3.10E-03   ,4.70E-03   ,4.97E+01   ,1.90E+00   ,5     , 1
Zn-69m ,438.6 ,3 ,1.19E-03   ,6.70E-06   ,5.90E+02   ,5.90E+01   ,7.01E+02   ,1.12E+00   ,1.00E+00   ,2.23E-02   ,9.73E-01   ,4.92E-02   ,2.49E-01   ,2.63E+02   ,1.03E+00   ,1.00E+00   ,2.24E-01   ,7.19E-01   ,4.92E-02   ,2.37E-01   ,1.58E+01   ,1.12E-04   ,1.00E-04   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,1.55E+01   ,1.03E-04   ,7.00E-04   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,3.98E-04   ,2.39E-06   ,1.00E+00   ,5.00E-03   ,9.56E-01   ,9.10E-03   ,9.99E-01   ,2.00E-04   ,-3.10E-03   ,4.70E-03   ,4.97E+01   ,1.90E+00   ,5     , 1
La-140 ,328.7 ,4 ,1.61E-03   ,8.84E-06   ,7.60E+01   ,2.96E+00   ,5.16E+01   ,1.02E+00   ,1.01E+00   ,2.87E-01   ,9.76E-01   ,1.71E-02   ,3.85E-05   ,1.55E+00   ,1.00E+00   ,1.01E+00   ,3.99E-01   ,8.69E-01   ,1.71E-02   ,3.81E-05   ,8.76E-02   ,3.28E-03   ,1.61E-03   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,6.20E-03   ,2.90E-03   ,1.61E-03   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,2.87E-02   ,2.87E-04   ,1.02E+00   ,2.40E-03   ,9.98E-01   ,3.80E-04   ,1.00E+00   ,0.00E+00   ,-3.10E-03   ,4.70E-03   ,4.97E+01   ,1.90E+00   ,5     , 1
La-140 ,487   ,4 ,1.06E-03   ,6.08E-06   ,7.60E+01   ,2.96E+00   ,7.58E+01   ,1.02E+00   ,1.00E+00   ,2.87E-01   ,9.76E-01   ,1.71E-02   ,3.85E-05   ,2.29E+00   ,1.00E+00   ,1.00E+00   ,3.99E-01   ,8.69E-01   ,1.71E-02   ,3.81E-05   ,9.09E-02   ,3.28E-03   ,1.41E-03   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,6.87E-03   ,2.90E-03   ,1.41E-03   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,6.37E-02   ,5.73E-04   ,1.02E+00   ,2.40E-03   ,9.98E-01   ,3.80E-04   ,1.00E+00   ,0.00E+00   ,-3.10E-03   ,4.70E-03   ,4.97E+01   ,1.90E+00   ,5     , 1
La-140 ,815.8 ,4 ,6.48E-04   ,4.44E-06   ,7.60E+01   ,2.96E+00   ,2.42E+01   ,1.02E+00   ,1.00E+00   ,2.87E-01   ,9.76E-01   ,1.71E-02   ,3.85E-05   ,7.20E-01   ,1.00E+00   ,1.00E+00   ,3.99E-01   ,8.69E-01   ,1.71E-02   ,3.81E-05   ,4.85E-02   ,3.28E-03   ,1.10E-03   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,4.03E-03   ,2.90E-03   ,1.10E-03   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,3.32E-02   ,1.99E-04   ,1.02E+00   ,2.40E-03   ,9.98E-01   ,3.80E-04   ,1.00E+00   ,0.00E+00   ,-3.10E-03   ,4.70E-03   ,4.97E+01   ,1.90E+00   ,5     , 1
La-140 ,1596.2,4 ,3.34E-04   ,3.95E-06   ,7.60E+01   ,2.96E+00   ,4.99E+01   ,1.02E+00   ,1.00E+00   ,2.87E-01   ,9.76E-01   ,1.71E-02   ,3.85E-05   ,1.55E+00   ,1.00E+00   ,1.00E+00   ,3.99E-01   ,8.69E-01   ,1.71E-02   ,3.81E-05   ,9.99E-02   ,3.28E-03   ,8.03E-04   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,5.44E-03   ,2.90E-03   ,8.03E-04   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,1.34E-01   ,1.47E-03   ,1.02E+00   ,2.40E-03   ,9.98E-01   ,3.80E-04   ,1.00E+00   ,0.00E+00   ,-3.10E-03   ,4.70E-03   ,4.97E+01   ,1.90E+00   ,5     , 1
Co-60  ,1173.2,5 ,4.67E-04   ,1.92E-06   ,1.36E+02   ,6.94E+00   ,4.18E+00   ,1.00E+00   ,1.00E+00   ,9.95E-01   ,1.00E+00   ,1.50E-05   ,7.14E-05   ,1.76E-01   ,1.00E+00   ,1.00E+00   ,9.95E-01   ,1.00E+00   ,1.50E-05   ,7.61E-05   ,4.05E-02   ,3.70E-03   ,1.30E-03   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,2.23E-03   ,1.00E-04   ,1.30E-03   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,1.32E+00   ,4.00E-01   ,9.91E-01   ,2.00E-03   ,9.97E-01   ,6.00E-04   ,1.00E+00   ,0.00E+00   ,-3.10E-03   ,4.70E-03   ,4.97E+01   ,1.90E+00   ,5     , 1
Co-60  ,1332.5,5 ,4.11E-04   ,2.28E-06   ,1.36E+02   ,6.94E+00   ,3.66E+00   ,1.00E+00   ,1.00E+00   ,9.95E-01   ,1.00E+00   ,1.50E-05   ,7.14E-05   ,1.68E-01   ,1.00E+00   ,1.00E+00   ,9.95E-01   ,1.00E+00   ,1.50E-05   ,7.61E-05   ,3.53E-02   ,3.70E-03   ,1.20E-03   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,2.18E-03   ,4.10E-03   ,1.20E-03   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,1.32E+00   ,5.00E-01   ,9.91E-01   ,2.00E-03   ,9.97E-01   ,6.00E-04   ,1.00E+00   ,0.00E+00   ,-3.10E-03   ,4.70E-03   ,4.97E+01   ,1.90E+00   ,5     , 1
Sc-46  ,889   ,6 ,6.01E-04   ,3.90E-06   ,5.13E+03   ,2.57E+02   ,5.93E+02   ,1.14E+00   ,1.00E+00   ,5.03E-01   ,1.00E+00   ,3.45E-04   ,8.92E-04   ,1.79E+02   ,1.04E+00   ,1.00E+00   ,9.27E-01   ,1.00E+00   ,3.45E-04   ,1.29E-02   ,5.93E-01   ,1.14E-04   ,6.02E-04   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,4.48E-01   ,1.04E-04   ,6.02E-04   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,1.22E+00   ,4.00E-01   ,1.03E+00   ,5.00E-03   ,9.86E-01   ,2.90E-03   ,9.79E-01   ,4.30E-03   ,-3.10E-03   ,4.70E-03   ,4.97E+01   ,1.90E+00   ,5     , 1
Sc-46  ,1120  ,6 ,4.90E-04   ,2.12E-06   ,5.13E+03   ,2.57E+02   ,4.86E+02   ,1.14E+00   ,1.00E+00   ,5.03E-01   ,1.00E+00   ,3.45E-04   ,8.92E-04   ,1.46E+02   ,1.04E+00   ,1.00E+00   ,9.27E-01   ,1.00E+00   ,3.45E-04   ,1.29E-02   ,4.86E-01   ,4.80E-03   ,5.01E-04   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,3.80E-01   ,5.29E-03   ,5.01E-04   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,0.00E+00   ,1.22E+00   ,1.10E+00   ,1.03E+00   ,5.00E-03   ,9.86E-01   ,2.90E-03   ,9.79E-01   ,4.30E-03   ,-3.10E-03   ,4.70E-03   ,4.97E+01   ,1.90E+00   ,5     , 1