Isotopo,Egama ,IN,Efic       ,sEfic      ,Eres       ,sEres      ,Na         ,Fz         ,Fa         ,D          ,C          ,S          ,W          ,NaCd       ,FZCd       ,FaCd       ,DCd        ,CCd        ,SCd        ,WCd        ,sNa        ,sFz        ,sFa        ,sD         ,sC         ,sS         ,sW         ,sNaCd      ,sFZCd      ,sFaCd      ,sDCd       ,sCCd       ,sSCd       ,sWCd       ,k0         ,sk0        ,FCd        ,sFCd       ,Gepi       ,sGepi      ,Gth        ,sGth       ,Alfa        ,sAlfa      ,FI         ,sFI        ,idouro
Se-75  ,121.12,1 ,3.58492E-03,3.47737E-05,2.90500E+01,1.20540E+00,5.14444E-01,1.00030E+00,1.00620E+00,8.42614E-01,9.94332E-01,2.41087E-04,3.10600E-05,6.55973E-02,1.00020E+00,1.00620E+00,8.45594E-01,9.89022E-01,2.41087E-04,2.08550E-05,8.86930E-03,3.00090E-03,1.20744E-03,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,2.36712E-03,3.00060E-03,1.20740E-03,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,2.15300E-03,3.90000E-05,8.72000E-01,2.56000E-02,9.99950E-01,1.00000E-04,9.97650E-01,5.50000E-04,-3.10000E-03,4.70000E-03,4.22858E+01,9.27004E-01,1
Se-75  ,136   ,1 ,3.45356E-03,3.38449E-05,2.90500E+01,1.20540E+00,1.72616E+00,1.00030E+00,1.00600E+00,8.42614E-01,9.94332E-01,2.41087E-04,3.10600E-05,2.31058E-01,1.00020E+00,1.00600E+00,8.45594E-01,9.89022E-01,2.41087E-04,2.08550E-05,3.45096E-02,3.00090E-03,1.20720E-03,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,2.81261E-03,3.00060E-03,1.20720E-03,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,7.46100E-03,1.46000E-04,8.72000E-01,2.56000E-02,1.00000E+00,1.00000E-04,1.00000E+00,0.00000E+00,-3.10000E-03,4.70000E-03,4.22858E+01,9.27004E-01,1
Se-75  ,264.66,1 ,2.05389E-03,1.66365E-05,2.90500E+01,1.20540E+00,1.03618E+00,1.00030E+00,1.00480E+00,8.42614E-01,9.94332E-01,2.41087E-04,3.10600E-05,1.29450E-01,1.00020E+00,1.00480E+00,8.45594E-01,9.89022E-01,2.41087E-04,2.08550E-05,5.97382E-03,3.00090E-03,1.00480E-03,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,2.27695E-03,3.00060E-03,1.00480E-03,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,7.51400E-03,9.08000E-05,8.72000E-01,2.56000E-02,1.00000E+00,1.00000E-04,1.00000E+00,0.00000E+00,-3.10000E-03,4.70000E-03,4.22858E+01,9.27004E-01,1
Se-75  ,279.54,1 ,1.94238E-03,1.51506E-05,2.90500E+01,1.20540E+00,4.18494E-01,1.00030E+00,1.00470E+00,8.42614E-01,9.94332E-01,2.41087E-04,3.10600E-05,5.69517E-02,1.00020E+00,1.00470E+00,8.45594E-01,9.89022E-01,2.41087E-04,2.08550E-05,2.81480E-03,3.00090E-03,9.04230E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,1.86251E-03,3.00060E-03,9.04230E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,3.17100E-03,1.93000E-04,8.72000E-01,2.56000E-02,1.00000E+00,1.00000E-04,1.00000E+00,0.00000E+00,-3.10000E-03,4.70000E-03,4.22858E+01,9.27004E-01,1
Se-75  ,400.66,1 ,1.32837E-03,9.69710E-06,2.90500E+01,1.20540E+00,1.35356E-01,1.00030E+00,1.00410E+00,8.42614E-01,9.94332E-01,2.41087E-04,3.10600E-05,1.95070E-02,1.00020E+00,1.00410E+00,8.45594E-01,9.89022E-01,2.41087E-04,2.08550E-05,1.62513E-03,3.00090E-03,9.04230E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,9.73645E-04,3.00060E-03,9.04230E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,1.52500E-03,4.16000E-05,8.72000E-01,2.56000E-02,1.00000E+00,1.00000E-04,1.00000E+00,0.00000E+00,-3.10000E-03,4.70000E-03,4.22858E+01,9.27004E-01,1
In-114 ,190.3 ,2 ,2.78942E-03,3.06836E-05,6.41000E+00,9.61500E-01,2.50101E+01,1.01715E+00,1.00700E+00,9.17881E-01,9.94975E-01,5.83169E-04,1.24100E-03,9.63056E+00,1.00705E+00,1.00700E+00,9.06844E-01,9.92901E-01,5.83169E-04,1.38150E-03,2.50101E-02,3.05145E-03,1.00700E-02,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,1.34828E-02,3.02115E-03,1.00700E-02,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,1.01840E-03,2.52000E-05,9.86000E-01,3.60000E-03,9.99500E-01,1.00000E-04,9.91200E-01,2.00000E-03,-3.10000E-03,4.70000E-03,4.60211E+01,9.95171E-01,2
In-114 ,558.4 ,2 ,9.40843E-04,7.24449E-06,6.41000E+00,9.61500E-01,2.25572E+00,1.01715E+00,1.00700E+00,9.17881E-01,9.94975E-01,5.83169E-04,1.24100E-03,8.76403E-01,1.00705E+00,1.00700E+00,9.06844E-01,9.92901E-01,5.83169E-04,1.38150E-03,1.35351E-02,3.05145E-03,6.29375E-03,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,6.16083E-03,3.02115E-03,6.29375E-03,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,2.72540E-04,3.66000E-06,9.86000E-01,3.60000E-03,9.99500E-01,1.00000E-04,9.91200E-01,2.00000E-03,-3.10000E-03,4.70000E-03,4.60211E+01,9.95171E-01,2
In-114 ,725.2 ,2 ,7.28711E-04,5.02811E-06,6.41000E+00,9.61500E-01,1.74546E+00,1.01715E+00,1.00700E+00,9.17881E-01,9.94975E-01,5.83169E-04,1.24100E-03,6.75551E-01,1.00705E+00,1.00700E+00,9.06844E-01,9.92901E-01,5.83169E-04,1.38150E-03,1.18697E-02,3.05145E-03,6.09235E-03,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,5.28576E-03,3.02115E-03,6.09235E-03,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,2.72600E-01,3.67000E-06,9.86000E-01,3.60000E-03,9.99500E-01,1.00000E-04,9.91200E-01,2.00000E-03,-3.10000E-03,4.70000E-03,4.60211E+01,9.95171E-01,2
W-187  ,479.53,3 ,1.10080E-03,8.58624E-06,2.05000E+01,2.05000E-01,1.17253E+02,1.06065E+00,1.02560E+00,3.72024E-03,9.75991E-01,2.88002E-02,3.10500E-03,1.00080E+01,1.00480E+00,1.02560E+00,3.40205E-03,7.91640E-01,2.88002E-02,3.31600E-03,1.46402E-01,4.24315E-03,9.23040E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,1.40112E-02,3.61728E-04,9.23040E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,3.21800E-02,6.53000E-04,9.91990E-01,2.00000E-03,3.90480E-01,1.10000E-02,9.59000E-01,8.00000E-03,-3.10000E-03,4.70000E-03,4.50087E+01,1.04298E+00,3
W-187  ,551.53,3 ,9.54250E-04,7.34773E-06,2.05000E+01,2.05000E-01,2.31866E+01,1.06065E+00,1.02160E+00,3.72024E-03,9.75991E-01,2.88002E-02,3.10500E-03,1.97311E+00,1.00480E+00,1.02160E+00,3.40205E-03,7.91640E-01,2.88002E-02,3.31600E-03,8.45986E-02,4.24315E-03,9.19440E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,8.08974E-03,3.61728E-04,9.19440E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,7.31480E-03,1.49500E-04,9.91990E-01,2.00000E-03,3.90480E-01,1.10000E-02,9.59000E-01,8.00000E-03,-3.10000E-03,4.70000E-03,4.50087E+01,1.04298E+00,3
W-187  ,618.36,3 ,8.51872E-04,6.21867E-06,2.05000E+01,2.05000E-01,2.59506E+01,1.06065E+00,1.01900E+00,3.72024E-03,9.75991E-01,2.88002E-02,3.10500E-03,2.19865E+00,1.00480E+00,1.01900E+00,3.40205E-03,7.91640E-01,2.88002E-02,3.31600E-03,7.78518E-02,4.24315E-03,9.17100E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,7.47541E-03,3.61728E-04,9.17100E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,9.14920E-03,1.85900E-04,9.91990E-01,2.00000E-03,3.90480E-01,1.10000E-02,9.59000E-01,8.00000E-03,-3.10000E-03,4.70000E-03,4.50087E+01,1.04298E+00,3
W-187  ,625.51,3 ,8.42352E-04,5.77237E-06,2.05000E+01,2.05000E-01,4.43454E+00,1.06065E+00,1.01890E+00,3.72024E-03,9.75991E-01,2.88002E-02,3.10500E-03,3.76432E-01,1.00480E+00,1.01890E+00,3.40205E-03,7.91640E-01,2.88002E-02,3.31600E-03,8.26116E-02,4.24315E-03,9.16380E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,7.70945E-03,3.61728E-04,9.16380E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,1.58080E-03,3.87000E-05,9.91990E-01,2.00000E-03,3.90480E-01,1.10000E-02,9.59000E-01,8.00000E-03,-3.10000E-03,4.70000E-03,4.50087E+01,1.04298E+00,3
W-187  ,685.77,3 ,7.70796E-04,5.39557E-06,2.05000E+01,2.05000E-01,1.02138E+02,1.06065E+00,1.01750E+00,3.72024E-03,9.75991E-01,2.88002E-02,3.10500E-03,8.70113E+00,1.00480E+00,1.01750E+00,3.40205E-03,7.91640E-01,2.88002E-02,3.31600E-03,1.27530E-01,4.24315E-03,9.15750E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,1.21816E-02,3.61728E-04,9.15750E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,3.97280E-02,8.01760E-04,9.91990E-01,2.00000E-03,3.90480E-01,1.10000E-02,9.59000E-01,8.00000E-03,-3.10000E-03,4.70000E-03,4.50087E+01,1.04298E+00,3
W-187  ,772.89,3 ,6.88657E-04,4.61400E-06,2.05000E+01,2.05000E-01,1.37619E+01,1.06065E+00,1.01550E+00,3.72024E-03,9.75991E-01,2.88002E-02,3.10500E-03,1.17622E+00,1.00480E+00,1.01550E+00,3.40205E-03,7.91640E-01,2.88002E-02,3.31600E-03,4.88354E-02,4.24315E-03,9.13950E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,4.58725E-03,3.61728E-04,9.13950E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,5.98060E-03,1.21400E-04,9.91990E-01,2.00000E-03,3.90480E-01,1.10000E-02,9.59000E-01,8.00000E-03,-3.10000E-03,4.70000E-03,4.50087E+01,1.04298E+00,3
Ir-192 ,295.96,4 ,1.83085E-03,1.37314E-05,1.34000E+00,6.70000E-01,2.81597E+02,1.16215E+00,1.00460E+00,7.67107E-01,9.99800E-01,3.91124E-04,5.60000E-05,1.45657E+01,1.01055E+00,1.00460E+00,8.29546E-01,9.96959E-01,3.91124E-04,3.60000E-05,3.33567E-01,4.29996E-03,9.04140E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,2.19933E-02,3.08238E-03,9.04140E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,1.16420E+00,1.20980E-02,7.80000E-01,2.00000E-02,9.99900E-01,1.00000E-04,9.95300E-01,1.10000E-03,-3.10000E-03,4.70000E-03,4.22858E+01,9.27004E-01,4
Ir-192 ,308.46,4 ,1.75322E-03,1.29738E-05,1.34000E+00,6.70000E-01,2.70627E+02,1.16215E+00,1.00460E+00,7.67107E-01,9.99800E-01,3.91124E-04,5.60000E-05,1.10285E+01,1.01055E+00,1.00460E+00,8.29546E-01,9.96959E-01,3.91124E-04,3.60000E-05,3.47635E-01,4.29996E-03,9.04140E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,3.60526E-02,3.08238E-03,9.04140E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,1.18080E+00,1.21780E-02,7.80000E-01,2.00000E-02,9.99900E-01,1.00000E-04,9.95300E-01,1.10000E-03,-3.10000E-03,4.70000E-03,4.22858E+01,9.27004E-01,4
Ir-192 ,316.51,4 ,1.70633E-03,1.26268E-05,1.34000E+00,6.70000E-01,7.55099E+02,1.16215E+00,1.00450E+00,7.67107E-01,9.99800E-01,3.91124E-04,5.60000E-05,3.78776E+01,1.01055E+00,1.00450E+00,8.29546E-01,9.96959E-01,3.91124E-04,3.60000E-05,4.84983E-01,4.29996E-03,9.04050E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,3.23841E-02,3.08238E-03,9.04050E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,3.35450E+00,3.46470E-02,7.80000E-01,2.00000E-02,9.99900E-01,1.00000E-04,9.95300E-01,1.10000E-03,-3.10000E-03,4.70000E-03,4.22858E+01,9.27004E-01,4
Ir-192 ,468.07,4 ,1.12768E-03,8.90867E-06,1.34000E+00,6.70000E-01,2.91030E+02,1.16215E+00,1.00390E+00,7.67107E-01,9.99800E-01,3.91124E-04,5.60000E-05,1.51778E+01,1.01055E+00,1.00390E+00,8.29546E-01,9.96959E-01,3.91124E-04,3.60000E-05,2.74231E-01,4.29996E-03,8.03120E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,1.75298E-02,3.08238E-03,8.03120E-04,0.00000E+00,0.00000E+00,0.00000E-00,0.00000E+00,1.95130E+00,2.04660E-02,7.80000E-01,2.00000E-02,9.99900E-01,1.00000E-04,9.95300E-01,1.10000E-03,-3.10000E-03,4.70000E-03,4.22858E+01,9.27004E-01,4
